母券商,回轉股數(FIFO),回轉張數(FIFO),已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),買股數(全日),賣股數(全日),均買價(全日),均賣價(全日),相抵後_買股數,相抵後_買張數,相抵後_買均價,相抵後_賣股數,相抵後_賣張數,相抵後_賣均價,期末淨部位(股),期末淨部位方向,期末部位均價
美林,508000,508,1904810,82156,155857,1666798,2129131,508000,204.34,204.54,1621131,1621,205.45,0,0,,1621131,多,205.45
台灣摩根,565000,565,1438500,91619,173294,1173587,3428000,565000,205.1,204.48,2863000,2863,205.72,0,0,,2863000,多,205.72
美商高盛,1307000,1307,1419500,212958,401361,805181,4185000,1307000,205.94,204.72,2878000,2878,206.99,0,0,,2878000,多,206.99
華南,499088,499,603758,81756,154129,367873,499088,918402,204.67,205.5,0,0,,419314,419,205.04,-419314,空,205.04
摩根大通,88000,88,223000,14334,27111,181555,374000,88000,205.21,205.39,286000,286,205.94,0,0,,286000,多,205.94
元富,464901,465,349379,75895,142922,130562,464901,842721,204.2,205.23,0,0,,377820,378,205.58,-377820,空,205.58
土銀,55240,55,134585,8972,16965,108648,60900,55240,202.46,204.75,5660,6,203.94,0,0,,5660,多,203.94
合庫,220459,220,205248,36033,67886,101329,220459,307681,204.36,205.37,0,0,,87222,87,205.57,-87222,空,205.57
口袋,44063,44,118373,7196,13616,97561,44063,53478,203.32,206.29,0,0,,9415,9,207.65,-9415,空,207.65
第一,342872,343,236165,56090,105610,74465,342872,465926,204.66,205.46,0,0,,123054,123,205.77,-123054,空,205.77
